0.3	0.1	>>-0.711923	1.58511
-0.711923	1.58511	>>-1.44842	4.17488
-1.44842	4.17488	>>-3.83329	5.44707
-3.83329	5.44707	>>-4.74885	9.92892
-4.74885	9.92892	>>-4.65423	14.1647
-4.65423	14.1647	>>-6.28592	11.4056
-6.28592	11.4056	>>-5.72376	8.75991
-5.72376	8.75991	>>-5.64767	2.67427
-5.64767	2.67427	>>-7.24497	-0.493333
-7.24497	-0.493333	>>-7.22842	-6.70192
-7.22842	-6.70192	>>-7.52514	-1.81416
-7.52514	-1.81416	>>-9.77402	-2.54116
-9.77402	-2.54116	>>-9.95913	3.0367
-9.95913	3.0367	>>-8.61912	4.4176
-8.61912	4.4176	>>-6.58275	6.82399
-6.58275	6.82399	>>-4.35977	5.11887
-4.35977	5.11887	>>-6.27571	5.04993
-6.27571	5.04993	>>-6.5149	0.271005
-6.5149	0.271005	>>-5.69695	-0.284923
-5.69695	-0.284923	>>-6.17305	-5.8038
-6.17305	-5.8038	>>-5.20504	-1.25747
-5.20504	-1.25747	>>-5.11416	4.76979
-5.11416	4.76979	>>-5.71244	8.69872
-5.71244	8.69872	>>-6.211	3.59719
-6.211	3.59719	>>-5.40551	1.87474
-5.40551	1.87474	>>-2.85839	1.66582
-2.85839	1.66582	>>-1.20291	-0.99043
-1.20291	-0.99043	>>-1.08175	-6.89621
-1.08175	-6.89621	>>1.60282	-7.52047
1.60282	-7.52047	>>2.22528	-11.2295
2.22528	-11.2295	>>2.12633	-17.117
2.12633	-17.117	>>0.00618339	-16.3875
0.00618339	-16.3875	>>3.10092	-16.3645
3.10092	-16.3645	>>5.55036	-17.0825
5.55036	-17.0825	>>8.09174	-18.1812
8.09174	-18.1812	>>6.12956	-20.2336
6.12956	-20.2336	>>5.7032	-24.6349
5.7032	-24.6349	>>6.51244	-24.2627
6.51244	-24.2627	>>6.01611	-23.7749
6.01611	-23.7749	>>6.975	-24.3896
6.975	-24.3896	>>10.0394	-24.5072
10.0394	-24.5072	>>9.76572	-22.9695
9.76572	-22.9695	>>9.91847	-28.6047
9.91847	-28.6047	>>7.22354	-29.5664
7.22354	-29.5664	>>6.91082	-25.1249
6.91082	-25.1249	>>4.19891	-25.3373
4.19891	-25.3373	>>4.99688	-28.386
4.99688	-28.386	>>8.1081	-28.3952
8.1081	-28.3952	>>10.413	-27.6481
10.413	-27.6481	>>13.0318	-28.3834
13.0318	-28.3834	>>16.0724	-28.3306
16.0724	-28.3306	>>18.4286	-29.9352
18.4286	-29.9352	>>16.3397	-28.1943
16.3397	-28.1943	>>17.4745	-32.0304
17.4745	-32.0304	>>18.6374	-31.0806
18.6374	-31.0806	>>20.3047	-33.8573
20.3047	-33.8573	>>19.1816	-35.5231
19.1816	-35.5231	>>18.8333	-29.9625
18.8333	-29.9625	>>19.5846	-34.6436
19.5846	-34.6436	>>22.1689	-34.1014
22.1689	-34.1014	>>20.787	-32.1754
20.787	-32.1754	>>20.1275	-28.8731
20.1275	-28.8731	>>22.2408	-29.2644
22.2408	-29.2644	>>22.2557	-35.4897
22.2557	-35.4897	>>22.2283	-29.3322
22.2283	-29.3322	>>22.511	-32.8517
22.511	-32.8517	>>19.5189	-32.7008
19.5189	-32.7008	>>21.3179	-32.1219
21.3179	-32.1219	>>22.7057	-31.5431
22.7057	-31.5431	>>23.1016	-36.9014
23.1016	-36.9014	>>25.4301	-35.9067
25.4301	-35.9067	>>22.7728	-35.0267
22.7728	-35.0267	>>22.5933	-41.0115
22.5933	-41.0115	>>22.9622	-44.4736
22.9622	-44.4736	>>23.9639	-45.8369
23.9639	-45.8369	>>26.6984	-45.1086
26.6984	-45.1086	>>27.5865	-46.6899
27.5865	-46.6899	>>29.3943	-44.4722
29.3943	-44.4722	>>28.526	-40.9281
28.526	-40.9281	>>26.1056	-41.5076
26.1056	-41.5076	>>25.8746	-37.6429
25.8746	-37.6429	>>23.6478	-36.926
23.6478	-36.926	>>22.2047	-39.6745
22.2047	-39.6745	>>21.5653	-42.8721
21.5653	-42.8721	>>18.7279	-42.622
18.7279	-42.622	>>19.0653	-43.2482
19.0653	-43.2482	>>19.0021	-45.7429
19.0021	-45.7429	>>18.7226	-45.824
18.7226	-45.824	>>18.369	-41.824
18.369	-41.824	>>16.6	-44.8028
16.6	-44.8028	>>15.0703	-41.7602
15.0703	-41.7602	>>15.4276	-44.4391
15.4276	-44.4391	>>13.443	-42.5736
13.443	-42.5736	>>15.8187	-41.1418
15.8187	-41.1418	>>14.4462	-40.3024
14.4462	-40.3024	>>12.6148	-42.0277
12.6148	-42.0277	>>13.3963	-46.007
13.3963	-46.007	>>13.6191	-42.2006
13.6191	-42.2006	>>14.9182	-38.8888
14.9182	-38.8888	>>17.6587	-39.2299
17.6587	-39.2299	>>18.0643	-34.2178
18.0643	-34.2178	>>16.9444	-36.4221
16.9444	-36.4221	>>19.4204	-37.5067
19.4204	-37.5067	>>19.6558	-34.4958
19.6558	-34.4958	>>19.5675	-39.6716
19.5675	-39.6716	>>21.9184	-38.3814
21.9184	-38.3814	>>24.6932	-38.4369
24.6932	-38.4369	>>23.978	-42.2924
23.978	-42.2924	>>25.5638	-41.5216
25.5638	-41.5216	>>26.3265	-43.92
26.3265	-43.92	>>25.026	-41.2406
25.026	-41.2406	>>24.6636	-42.2467
24.6636	-42.2467	>>24.7275	-36.9006
24.7275	-36.9006	>>24.4005	-38.488
24.4005	-38.488	>>24.0078	-34.8964
24.0078	-34.8964	>>27.0264	-34.8338
27.0264	-34.8338	>>29.7023	-35.4024
29.7023	-35.4024	>>28.9192	-37.0714
28.9192	-37.0714	>>26.7388	-39.1239
26.7388	-39.1239	>>26.8613	-39.6007
26.8613	-39.6007	>>24.862	-41.3308
24.862	-41.3308	>>26.6523	-38.5572
26.6523	-38.5572	>>27.7901	-42.6237
27.7901	-42.6237	>>26.9125	-43.1055
26.9125	-43.1055	>>24.2657	-44.0999
24.2657	-44.0999	>>24.6526	-41.7907
24.6526	-41.7907	>>23.8104	-37.1589
23.8104	-37.1589	>>22.6682	-35.0871
22.6682	-35.0871	>>23.9638	-37.8918
23.9638	-37.8918	>>26.9766	-38.1003
26.9766	-38.1003	>>24.0054	-38.4354
24.0054	-38.4354	>>26.2794	-38.2993
26.2794	-38.2993	>>25.8885	-43.5374
25.8885	-43.5374	>>24.7724	-47.2535
24.7724	-47.2535	>>24.7963	-41.0387
24.7963	-41.0387	>>24.3316	-46.5228
24.3316	-46.5228	>>24.7903	-41.1879
24.7903	-41.1879	>>24.1696	-37.1454
24.1696	-37.1454	>>22.7829	-38.2002
22.7829	-38.2002	>>22.3487	-33.4575
22.3487	-33.4575	>>21.38	-29.2301
21.38	-29.2301	>>21.9643	-33.3186
21.9643	-33.3186	>>24.3044	-32.3439
24.3044	-32.3439	>>23.2461	-34.937
23.2461	-34.937	>>23.2309	-30.8177
23.2309	-30.8177	>>23.4399	-35.2158
23.4399	-35.2158	>>24.6704	-37.2555
24.6704	-37.2555	>>24.5719	-31.7474
24.5719	-31.7474	>>24.6647	-29.0189
24.6647	-29.0189	>>25.0219	-34.3358
25.0219	-34.3358	>>27.7502	-34.7905
27.7502	-34.7905	>>27.8005	-29.1254
27.8005	-29.1254	>>26.727	-29.4719
26.727	-29.4719	>>26.604	-35.1547
26.604	-35.1547	>>28.87	-33.9903
28.87	-33.9903	>>29.1396	-38.4885
29.1396	-38.4885	>>29.4188	-33.7648
29.4188	-33.7648	>>28.9052	-36.8084
28.9052	-36.8084	>>30.6832	-34.0503
30.6832	-34.0503	>>31.3862	-38.8783
31.3862	-38.8783	>>28.9534	-38.968
28.9534	-38.968	>>30.1413	-40.5892
30.1413	-40.5892	>>28.4262	-38.2008
28.4262	-38.2008	>>30.0786	-40.3829
30.0786	-40.3829	>>32.7833	-40.276
32.7833	-40.276	>>33.0233	-34.3474
33.0233	-34.3474	>>35.9308	-34.7113
35.9308	-34.7113	>>34.5821	-32.4541
34.5821	-32.4541	>>33.1207	-34.9398
33.1207	-34.9398	>>34.6381	-31.9919
34.6381	-31.9919	>>34.44	-36.7172
