k simulation binomial poisson
836 0 0 2.1313e-297
837 0 0 4.24392e-298
838 0 0 8.44057e-299
839 0 0 1.67671e-299
840 0 0 3.32681e-300
841 0 0 6.59296e-301
842 0 0 1.30502e-301
843 0 0 2.58011e-302
844 0 0 5.09501e-303
845 0 0 1.00493e-303
846 0 0 1.97977e-304
847 0 0 3.89566e-305
848 0 0 7.65656e-306
849 0 0 1.50305e-306
850 0 0 2.94716e-307
851 0 0 5.77196e-308
852 0 0 1.1291e-308
853 0 0 2.20614e-309
854 0 0 4.3055e-310
855 0 0 8.39278e-311
856 0 0 1.63411e-311
857 0 0 3.17796e-312
858 0 0 6.1732e-313
859 0 0 1.19775e-313
860 0 0 2.32122e-314
861 0 0 4.49326e-315
862 0 0 8.68767e-316
863 0 0 1.6778e-316
864 0 0 3.2365e-317
865 0 0 6.23604e-318
866 0 0 1.20016e-318
867 0 0 2.30714e-319
868 0 0 4.42979e-320
869 0 0 8.49793e-321
870 0 0 1.62548e-321
871 0 0 3.11261e-322
872 0 0 5.92879e-323
873 0 0 9.88131e-324
874 0 0 0
875 0 0 0
876 0 0 0
877 0 0 0
878 0 0 0
879 0 0 0
880 0 0 0
881 0 0 0
882 0 0 0
883 0 0 0
884 0 0 0
885 0 0 0
886 0 0 0
887 0 0 0
888 0 0 0
889 0 0 0
890 0 0 0
891 0 0 0
892 0 0 0
893 0 0 0
894 0 0 0
895 0 0 0
896 0 0 0
897 0 0 0
898 0 0 0
899 0 0 0
900 0 0 0
901 0 0 0
902 0 0 0
903 0 0 0
904 0 0 0
905 0 0 0
906 0 0 0
907 0 0 0
908 0 0 0
909 0 0 0
910 0 0 0
911 0 0 0
912 0 0 0
913 0 0 0
914 0 0 0
915 0 0 0
916 0 0 0
917 0 0 0
918 0 0 0
919 0 0 0
920 0 0 0
921 0 0 0
922 0 0 0
923 0 0 0
924 0 0 0
925 0 0 0
926 0 0 0
927 0 0 0
928 0 0 0
929 0 0 0
930 0 0 0
931 0 0 0
932 0 0 0
933 0 0 0
934 0 0 0
935 0 0 0
936 0 0 0
937 0 0 0
938 0 0 0
939 0 0 0
940 0 0 0
941 0 0 0
942 0 0 0
943 0 0 0
944 0 0 0
945 0 0 0
946 0 0 0
947 0 0 0
948 0 0 0
949 0 0 0
950 0 0 0
951 0 0 0
952 0 0 0
953 0 0 0
954 0 0 0
955 0 0 0
956 0 0 0
957 0 0 0
958 0 0 0
959 0 0 0
960 0 0 0
961 0 0 0
962 0 0 0
963 0 0 0
964 0 0 0
965 0 0 0
966 0 0 0
967 0 0 0
968 0 0 0
969 0 0 0
970 0 0 0
971 0 0 0
972 0 0 0
973 0 0 0
974 0 0 0
975 0 0 0
976 0 0 0
977 0 0 0
978 0 0 0
979 0 0 0
980 0 0 0
981 0 0 0
982 0 0 0
983 0 0 0
984 0 0 0
985 0 0 0
986 0 0 0
987 0 0 0
988 0 0 0
989 0 0 0
990 0 0 0
991 0 0 0
992 0 0 0
993 0 0 0
994 0 0 0
995 0 0 0
996 0 0 0
997 0 0 0
998 0 0 0
999 0 0 0
1000 0 0 0
