k simulation binomial poisson
160 0.02858 0.0292572 0.0275379
161 0.02974 0.0305293 0.0285071
162 0.03178 0.0316223 0.0293283
163 0.03183 0.0325147 0.029988
164 0.03337 0.0331888 0.0304756
165 0.03258 0.0336313 0.0307835
166 0.03373 0.0338339 0.0309071
167 0.03368 0.0337934 0.0308454
168 0.03392 0.0335118 0.0306006
169 0.03407 0.0329962 0.0301781
170 0.03174 0.0322586 0.0295864
171 0.0325 0.0313154 0.0288366
172 0.03043 0.0301866 0.0279425
173 0.02907 0.0288954 0.0269195
174 0.02823 0.0274672 0.025785
175 0.02539 0.0259291 0.0245571
176 0.02401 0.0243085 0.0232549
177 0.0238 0.022633 0.0218972
178 0.02144 0.0209292 0.020503
179 0.01896 0.0192221 0.0190903
180 0.01763 0.0175348 0.0176762
181 0.0156 0.0158879 0.0162765
182 0.01449 0.0142991 0.0149052
183 0.01319 0.0127832 0.0135749
184 0.01167 0.0113521 0.0122961
185 0.00979 0.0100144 0.0110775
186 0.00928 0.00877604 0.0099261
187 0.00835 0.00764032 0.00884679
188 0.00709 0.00660806 0.0078429
189 0.00584 0.00567804 0.00691614
190 0.00512 0.00484725 0.00606679
191 0.00409 0.00411128 0.00529388
192 0.00384 0.00346461 0.00459538
193 0.00319 0.00290094 0.00396838
194 0.00266 0.00241346 0.00340926
195 0.00217 0.00199513 0.0029139
196 0.00173 0.00163885 0.0024778
197 0.00137 0.0013377 0.00209628
198 0.00096 0.00108503 0.00176455
199 0.0011 0.000874565 0.00147784
200 0.00073 0.000700526 0.00123154
201 0.00051 0.000557633 0.00102118
202 0.00059 0.000441137 0.000842554
203 0.00043 0.000346825 0.000691752
204 0.00029 0.000271 0.000565157
205 0.00017 0.000210454 0.000459477
206 0.00014 0.000162438 0.000371745
207 0.00011 0.000124614 0.000299312
208 7e-05 9.50184e-05 0.000239833
209 0.00012 7.2014e-05 0.000191255
210 5e-05 5.42505e-05 0.000151789
211 2e-05 4.06236e-05 0.000119897
212 2e-05 3.02378e-05 9.42585e-05
213 1e-05 2.23731e-05 7.37547e-05
214 1e-05 1.64557e-05 5.74413e-05
215 1e-05 1.20318e-05 4.45282e-05
216 2e-05 8.74535e-06 3.43581e-05
217 0 6.31922e-06 2.63887e-05
218 0 4.5394e-06 2.01749e-05
219 0 3.24184e-06 1.53538e-05
220 0 2.30171e-06 1.16317e-05
221 0 1.62473e-06 8.77199e-06
222 0 1.14024e-06 6.58558e-06
223 0 7.95612e-07 4.92196e-06
224 0 5.51956e-07 3.66217e-06
225 0 3.80727e-07 2.71272e-06
226 0 2.61118e-07 2.00053e-06
227 0 1.78066e-07 1.46882e-06
228 0 1.20741e-07 1.0737e-06
229 0 8.14082e-08 7.81439e-07
230 0 5.45789e-08 5.6626e-07
231 0 3.63859e-08 4.08557e-07
232 0 2.41214e-08 2.93504e-07
233 0 1.59015e-08 2.09945e-07
234 0 1.04243e-08 1.49534e-07
235 0 6.79575e-09 1.06052e-07
236 0 4.40572e-09 7.48957e-08
237 0 2.84048e-09 5.26693e-08
238 0 1.82125e-09 3.68833e-08
239 0 1.16133e-09 2.57205e-08
240 0 7.36479e-10 1.78615e-08
241 0 4.64501e-10 1.23523e-08
242 0 2.91369e-10 8.50712e-09
243 0 1.81776e-10 5.83479e-09
244 0 1.1279e-10 3.98551e-09
245 0 6.96078e-11 2.71123e-09
246 0 4.27267e-11 1.83688e-09
247 0 2.60858e-11 1.23946e-09
248 0 1.58408e-11 8.3297e-10
249 0 9.5681e-12 5.57543e-10
250 0 5.74852e-12 3.71696e-10
251 0 3.43537e-12 2.4681e-10
252 0 2.04214e-12 1.63234e-10
253 0 1.20752e-12 1.07532e-10
254 0 7.10252e-13 7.05592e-11
255 0 4.15567e-13 4.61171e-11
256 0 2.41873e-13 3.00242e-11
257 0 1.40042e-13 1.94709e-11
258 0 8.06597e-14 1.25781e-11
259 0 4.62158e-14 8.09403e-12
260 0 2.6343e-14 5.18848e-12
261 0 1.49378e-14 3.31321e-12
262 0 8.42674e-15 2.10764e-12
263 0 4.72923e-15 1.33564e-12
264 0 2.64049e-15 8.43206e-13
265 0 1.46672e-15 5.30318e-13
266 0 8.10553e-16 3.3228e-13
267 0 4.45652e-16 2.07416e-13
268 0 2.43779e-16 1.2899e-13
269 0 1.32674e-16 7.99193e-14
270 0 7.18403e-17 4.93329e-14
271 0 3.87036e-17 3.034e-14
272 0 2.07463e-17 1.85907e-14
273 0 1.10647e-17 1.13496e-14
274 0 5.87155e-18 6.90367e-15
275 0 3.10018e-18 4.18404e-15
276 0 1.62872e-18 2.5266e-15
277 0 8.51401e-19 1.52021e-15
278 0 4.42851e-19 9.114e-16
279 0 2.29203e-19 5.44444e-16
280 0 1.1804e-19 3.24074e-16
281 0 6.04901e-20 1.92215e-16
282 0 3.08457e-20 1.13602e-16
283 0 1.56517e-20 6.69035e-17
284 0 7.90301e-21 3.92626e-17
285 0 3.97092e-21 2.29606e-17
286 0 1.98546e-21 1.33803e-17
287 0 9.87887e-22 7.7702e-18
288 0 4.89141e-22 4.49665e-18
289 0 2.41016e-22 2.59322e-18
290 0 1.18181e-22 1.49036e-18
291 0 5.76691e-23 8.53584e-19
292 0 2.80051e-23 4.87205e-19
293 0 1.35342e-23 2.77136e-19
294 0 6.5093e-24 1.57107e-19
295 0 3.11564e-24 8.87608e-20
296 0 1.48414e-24 4.99779e-20
297 0 7.03592e-25 2.8046e-20
298 0 3.31963e-25 1.56857e-20
299 0 1.55878e-25 8.74341e-21
300 0 7.28471e-26 4.85745e-21
301 0 3.38824e-26 2.68962e-21
302 0 1.56846e-26 1.48434e-21
303 0 7.22632e-27 8.16467e-22
304 0 3.31365e-27 4.47624e-22
305 0 1.51233e-27 2.44603e-22
306 0 6.86972e-28 1.33226e-22
307 0 3.10592e-28 7.23269e-23
308 0 1.39766e-28 3.9138e-23
309 0 6.26008e-29 2.111e-23
310 0 2.79079e-29 1.13495e-23
311 0 1.23836e-29 6.08224e-24
312 0 5.4694e-30 3.24906e-24
313 0 2.40444e-30 1.73007e-24
314 0 1.05213e-30 9.18294e-25
315 0 4.58263e-31 4.8587e-25
316 0 1.98677e-31 2.5626e-25
317 0 8.57383e-32 1.34732e-25
318 0 3.68297e-32 7.06143e-26
319 0 1.57479e-32 3.68936e-26
320 0 6.70269e-33 1.92154e-26
321 0 2.83977e-33 9.97684e-27
322 0 1.19764e-33 5.164e-27
323 0 5.02787e-34 2.6646e-27
324 0 2.10115e-34 1.37068e-27
325 0 8.7408e-35 7.02913e-28
326 0 3.61966e-35 3.59362e-28
327 0 1.49214e-35 1.83161e-28
328 0 6.12323e-36 9.30697e-29
329 0 2.50141e-36 4.71478e-29
330 0 1.01724e-36 2.3812e-29
331 0 4.11813e-37 1.19899e-29
332 0 1.65965e-37 6.01904e-30
333 0 6.65855e-38 3.01253e-30
334 0 2.65943e-38 1.50326e-30
335 0 1.05742e-38 7.47891e-31
336 0 4.18563e-39 3.70978e-31
337 0 1.64941e-39 1.83471e-31
338 0 6.47077e-40 9.04687e-32
339 0 2.52723e-40 4.44782e-32
340 0 9.82645e-41 2.18031e-32
341 0 3.80379e-41 1.06564e-32
342 0 1.4659e-41 5.19319e-33
343 0 5.62422e-42 2.52342e-33
344 0 2.14814e-42 1.22259e-33
345 0 8.17258e-43 5.90621e-34
346 0 3.09101e-43 2.845e-34
347 0 1.15904e-43 1.36647e-34
348 0 4.57866e-44 6.54441e-35
349 0 2.13846e-44 3.12531e-35
350 0 0 1.48825e-35
351 0 0 7.06669e-36
352 0 0 3.34597e-36
353 0 0 1.57978e-36
354 0 0 7.43775e-37
355 0 0 3.4919e-37
356 0 0 1.63479e-37
357 0 0 7.63205e-38
358 0 0 3.5531e-38
359 0 0 1.64953e-38
360 0 0 7.63673e-39
361 0 0 3.52573e-39
362 0 0 1.62327e-39
363 0 0 7.45301e-40
364 0 0 3.41255e-40
365 0 0 1.55824e-40
366 0 0 7.09582e-41
367 0 0 3.22244e-41
368 0 0 1.45944e-41
369 0 0 6.59187e-42
370 0 0 2.96931e-42
371 0 0 1.33392e-42
372 0 0 5.97635e-43
373 0 0 2.6704e-43
374 0 0 1.19002e-43
375 0 0 5.28897e-44
376 0 0 2.3444e-44
377 0 0 1.03643e-44
378 0 0 4.56979e-45
379 0 0 2.00958e-45
380 0 0 8.81395e-46
381 0 0 3.85562e-46
382 0 0 1.68221e-46
383 0 0 7.32032e-47
384 0 0 3.17722e-47
385 0 0 1.37542e-47
386 0 0 5.93877e-48
387 0 0 2.55761e-48
388 0 0 1.09863e-48
389 0 0 4.70707e-49
390 0 0 2.01157e-49
391 0 0 8.57446e-50
392 0 0 3.6456e-50
393 0 0 1.54606e-50
394 0 0 6.54001e-51
395 0 0 2.7595e-51
396 0 0 1.1614e-51
397 0 0 4.87575e-52
398 0 0 2.04177e-52
399 0 0 8.52871e-53
400 0 0 3.55363e-53
401 0 0 1.47699e-53
402 0 0 6.12349e-54
403 0 0 2.53246e-54
404 0 0 1.04474e-54
405 0 0 4.29936e-55
406 0 0 1.76493e-55
407 0 0 7.22738e-56
408 0 0 2.95236e-56
409 0 0 1.20308e-56
410 0 0 4.89057e-57
411 0 0 1.9832e-57
412 0 0 8.02266e-58
413 0 0 3.23755e-58
414 0 0 1.30336e-58
415 0 0 5.23439e-59
416 0 0 2.09711e-59
417 0 0 8.38174e-60
418 0 0 3.342e-60
419 0 0 1.32936e-60
420 0 0 5.27522e-61
421 0 0 2.08837e-61
422 0 0 8.24791e-62
423 0 0 3.24977e-62
424 0 0 1.27742e-62
425 0 0 5.00951e-63
426 0 0 1.9599e-63
427 0 0 7.64989e-64
428 0 0 2.97893e-64
429 0 0 1.15731e-64
430 0 0 4.48571e-65
431 0 0 1.73462e-65
432 0 0 6.69219e-66
433 0 0 2.5759e-66
434 0 0 9.89209e-67
435 0 0 3.79007e-67
436 0 0 1.4488e-67
437 0 0 5.52557e-68
438 0 0 2.10258e-68
439 0 0 7.98245e-69
440 0 0 3.02365e-69
441 0 0 1.14273e-69
442 0 0 4.30892e-70
443 0 0 1.62111e-70
444 0 0 6.08526e-71
445 0 0 2.27913e-71
446 0 0 8.51691e-72
447 0 0 3.17558e-72
448 0 0 1.18139e-72
449 0 0 4.38527e-73
450 0 0 1.62417e-73
451 0 0 6.00212e-74
452 0 0 2.21317e-74
453 0 0 8.14265e-75
454 0 0 2.98923e-75
455 0 0 1.09495e-75
456 0 0 4.00203e-76
457 0 0 1.45953e-76
458 0 0 5.31124e-77
459 0 0 1.92855e-77
460 0 0 6.98751e-78
461 0 0 2.52622e-78
462 0 0 9.11334e-79
463 0 0 3.28054e-79
464 0 0 1.17835e-79
465 0 0 4.22349e-80
466 0 0 1.51055e-80
467 0 0 5.39096e-81
468 0 0 1.91986e-81
469 0 0 6.82253e-82
470 0 0 2.41934e-82
471 0 0 8.56099e-83
472 0 0 3.02295e-83
473 0 0 1.06517e-83
474 0 0 3.74532e-84
475 0 0 1.31415e-84
476 0 0 4.60135e-85
477 0 0 1.60774e-85
478 0 0 5.60579e-86
479 0 0 1.95052e-86
480 0 0 6.77263e-87
481 0 0 2.34672e-87
482 0 0 8.11452e-88
483 0 0 2.80004e-88
484 0 0 9.64202e-89
485 0 0 3.31341e-89
486 0 0 1.13629e-89
487 0 0 3.88873e-90
488 0 0 1.32812e-90
489 0 0 4.52664e-91
490 0 0 1.53967e-91
491 0 0 5.22632e-92
492 0 0 1.77043e-92
493 0 0 5.98524e-93
494 0 0 2.01931e-93
495 0 0 6.79903e-94
496 0 0 2.28462e-94
497 0 0 7.66137e-95
498 0 0 2.56405e-95
499 0 0 8.56395e-96
500 0 0 2.85465e-96
501 0 0 9.4965e-97
502 0 0 3.15289e-97
503 0 0 1.04469e-97
504 0 0 3.45468e-98
505 0 0 1.14016e-98
506 0 0 3.75546e-99
507 0 0 1.23454e-99
508 0 0 4.05032e-100
509 0 0 1.32623e-100
510 0 0 4.3341e-101
511 0 0 1.4136e-101
512 0 0 4.60156e-102
513 0 0 1.49498e-102
514 0 0 4.84755e-103
515 0 0 1.56879e-103
516 0 0 5.06714e-104
517 0 0 1.63351e-104
518 0 0 5.25581e-105
519 0 0 1.6878e-105
520 0 0 5.40962e-106
521 0 0 1.73052e-106
522 0 0 5.5253e-107
523 0 0 1.76077e-107
524 0 0 5.60042e-108
525 0 0 1.77791e-108
526 0 0 5.63343e-109
527 0 0 1.7816e-109
528 0 0 5.62375e-110
529 0 0 1.77182e-110
530 0 0 5.57176e-111
531 0 0 1.74882e-111
532 0 0 5.47877e-112
533 0 0 1.71319e-112
534 0 0 5.34703e-113
535 0 0 1.66574e-113
536 0 0 5.17954e-114
537 0 0 1.60755e-114
538 0 0 4.98003e-115
539 0 0 1.5399e-115
540 0 0 4.75277e-116
541 0 0 1.46419e-116
542 0 0 4.50244e-117
543 0 0 1.38197e-117
544 0 0 4.23396e-118
545 0 0 1.29479e-118
546 0 0 3.95235e-119
547 0 0 1.20425e-119
548 0 0 3.66256e-120
549 0 0 1.11189e-120
550 0 0 3.36936e-121
551 0 0 1.01917e-121
552 0 0 3.07719e-122
553 0 0 9.27423e-123
554 0 0 2.79008e-123
555 0 0 8.37862e-124
556 0 0 2.51158e-124
557 0 0 7.51519e-125
558 0 0 2.24468e-125
559 0 0 6.69255e-126
560 0 0 1.99183e-126
561 0 0 5.9175e-127
562 0 0 1.75489e-127
563 0 0 5.19506e-128
564 0 0 1.53518e-128
565 0 0 4.52857e-129
566 0 0 1.3335e-129
567 0 0 3.91976e-130
568 0 0 1.15016e-130
569 0 0 3.36896e-131
570 0 0 9.85076e-132
571 0 0 2.87529e-132
572 0 0 8.3779e-133
573 0 0 2.43685e-133
574 0 0 7.07565e-134
575 0 0 2.05091e-134
576 0 0 5.93435e-135
577 0 0 1.71414e-135
578 0 0 4.94273e-136
579 0 0 1.42278e-136
580 0 0 4.08844e-137
581 0 0 1.17282e-137
582 0 0 3.35859e-138
583 0 0 9.60145e-139
584 0 0 2.74014e-139
585 0 0 7.80666e-140
586 0 0 2.22032e-140
587 0 0 6.30416e-141
588 0 0 1.78689e-141
589 0 0 5.05629e-142
590 0 0 1.42833e-142
591 0 0 4.02801e-143
592 0 0 1.13401e-143
593 0 0 3.18721e-144
594 0 0 8.9428e-145
595 0 0 2.50499e-145
596 0 0 7.00499e-146
597 0 0 1.95561e-146
598 0 0 5.45042e-147
599 0 0 1.51653e-147
600 0 0 4.21259e-148
601 0 0 1.16822e-148
602 0 0 3.23427e-149
603 0 0 8.93937e-150
604 0 0 2.46671e-150
605 0 0 6.79536e-151
606 0 0 1.86891e-151
607 0 0 5.13155e-152
608 0 0 1.40667e-152
609 0 0 3.84968e-153
610 0 0 1.05183e-153
611 0 0 2.86914e-154
612 0 0 7.81356e-155
613 0 0 2.1244e-155
614 0 0 5.76657e-156
615 0 0 1.56276e-156
616 0 0 4.22824e-157
617 0 0 1.14215e-157
618 0 0 3.08023e-158
619 0 0 8.29356e-159
620 0 0 2.22945e-159
621 0 0 5.9835e-160
622 0 0 1.6033e-160
623 0 0 4.28918e-161
624 0 0 1.14561e-161
625 0 0 3.05497e-162
626 0 0 8.13358e-163
627 0 0 2.16204e-163
628 0 0 5.73789e-164
629 0 0 1.52037e-164
630 0 0 4.02215e-165
631 0 0 1.06237e-165
632 0 0 2.80162e-166
633 0 0 7.37657e-167
634 0 0 1.93916e-167
635 0 0 5.08966e-168
636 0 0 1.33377e-168
637 0 0 3.48972e-169
638 0 0 9.11629e-170
639 0 0 2.37775e-170
640 0 0 6.19205e-171
641 0 0 1.61e-171
642 0 0 4.17964e-172
643 0 0 1.08337e-172
644 0 0 2.80375e-173
645 0 0 7.24484e-174
646 0 0 1.86915e-174
647 0 0 4.81493e-175
648 0 0 1.23841e-175
649 0 0 3.18029e-176
650 0 0 8.1546e-177
651 0 0 2.08771e-177
652 0 0 5.33669e-178
653 0 0 1.36209e-178
654 0 0 3.47119e-179
655 0 0 8.83254e-180
656 0 0 2.24404e-180
657 0 0 5.69264e-181
658 0 0 1.44191e-181
659 0 0 3.6467e-182
660 0 0 9.20884e-183
661 0 0 2.32195e-183
662 0 0 5.84579e-184
663 0 0 1.46953e-184
664 0 0 3.68858e-185
665 0 0 9.24455e-186
666 0 0 2.31345e-186
667 0 0 5.78074e-187
668 0 0 1.4423e-187
669 0 0 3.59317e-188
670 0 0 8.93825e-189
671 0 0 2.22013e-189
672 0 0 5.50628e-190
673 0 0 1.36361e-190
674 0 0 3.37195e-191
675 0 0 8.32579e-192
676 0 0 2.05271e-192
677 0 0 5.05345e-193
678 0 0 1.24224e-193
679 0 0 3.0492e-194
680 0 0 7.47353e-195
